REMARK SeriesTab Input: test.tab Output: parkin_sq.tab
REMARK Mode: Maximum Dimensions: 2
REMARK Input Region:    X +/- 2 X-ZF: 5
REMARK Analysis Region: X +/- 2
REMARK Input Region:    Y +/- 2 Y-ZF: 5
REMARK Analysis Region: Y +/- 2

VARS   INDEX X_AXIS Y_AXIS DX DY X_PPM Y_PPM X_HZ Y_HZ XW YW XW_HZ YW_HZ X1 X3 Y1 Y3 HEIGHT DHEIGHT VOL PCHI2 TYPE ASS CLUSTID MEMCNT Z_A0 Z_A1 Z_A2 Z_A3 Z_A4 Z_A5 Z_A6 Z_A7 Z_A8 Z_A9
FORMAT %5d %9.3f %9.3f %6.3f %6.3f %8.3f %8.3f %9.3f %9.3f %7.3f %7.3f %8.3f %8.3f %4d %4d %4d %4d %+e %+e %+e %.5f %d %s %4d %4d %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f

NULLVALUE -666
NULLSTRING *

   18   444.957   123.099  0.132  0.130   -0.119   28.830   -94.893  5801.086   5.704   5.561   21.760   43.728  442  448  120  126 +3.376179e+10 +3.526654e+08 +3.373647e+10 0.00000 1 s102   15    1  1.0000  0.8832  0.8428  0.6931  0.5262  0.4300  0.4175  0.4036  0.9456  0.4835
   21   210.972   128.412  0.088  0.046    0.997   28.623   797.690  5759.316   6.702   5.788   25.567   45.511  206  216  124  132 +1.396279e+11 +3.804234e+08 +1.325669e+11 0.00000 1 s87   11    6  1.0000  0.9756  0.9592  0.8774  0.7873  0.7404  0.7088  0.6951  0.9782  0.7323
   22   314.557   129.257  0.070  0.058    0.503   28.590   402.545  5752.668   5.280   5.036   20.143   39.599  311  318  126  133 +7.000180e+10 +3.659317e+08 +6.867072e+10 0.00000 1 s94   16    1  1.0000  0.9576  0.9056  0.7591  0.6564  0.5525  0.5316  0.4792  0.9400  0.5766
   23   283.173   130.827  0.196  0.146    0.653   28.528   522.267  5740.327   6.216   5.297   23.711   41.651  280  286  128  133 +2.813513e+10 +3.536789e+08 +2.803192e+10 0.00000 1 s91   17    1  1.0000  0.9394  0.8906  0.7116  0.5819  0.4296  0.4059  0.3193  0.9791  0.4939
   24   234.221   135.106  0.036  0.033    0.886   28.361   709.003  5706.680   5.456   5.242   20.813   41.217  230  238  131  139 +1.215826e+11 +3.586019e+08 +1.210868e+11 0.00000 1 s89   11    6  1.0000  0.9758  0.9493  0.8588  0.7639  0.7225  0.6871  0.6446  0.9742  0.7275
   26   266.778   148.046  0.153  0.128    0.731   27.856   584.805  5604.935   6.622   6.146   25.260   48.327  263  272  144  152 +4.118644e+10 +3.486330e+08 +4.108961e+10 0.00000 1 s75   19    1  1.0000  0.9098  0.9005  0.8059  0.6837  0.6125  0.5539  0.5304  0.9249  0.6353
   27   384.811   149.081  0.290  0.159    0.168   27.815   134.547  5596.800   7.018   5.218   26.772   41.029  382  388  147  151 +2.411370e+10 +3.501209e+08 +2.406723e+10 0.00000 1 s95   20    1  1.0000  0.8994  0.8515  0.5892  0.4202  0.2839  0.2031  0.1880  0.9021  0.3326
   28   134.671   150.714  0.149  0.127    1.361   27.751  1088.754  5583.957   5.601   5.168   21.366   40.631  132  138  148  153 +3.343218e+10 +3.599435e+08 +3.300253e+10 0.00000 1 s78   21    1  1.0000  0.8661  0.7965  0.6309  0.5125  0.4917  0.4088  0.3965  0.8993  0.4615
   29   208.177   151.653  0.141  0.129    1.010   27.715   808.353  5576.571   5.802   5.234   22.135   41.151  205  211  149  154 +3.478401e+10 +3.579979e+08 +3.441641e+10 0.00000 1 s76   22    1  1.0000  0.9021  0.9001  0.7544  0.5502  0.4274  0.3434  0.2963  0.9522  0.4468
   30   282.164   154.991  0.069  0.067    0.657   27.584   526.114  5550.324   5.383   5.306   20.534   41.720  279  286  152  159 +6.013695e+10 +3.578165e+08 +6.002521e+10 0.00000 1 s74   23    1  1.0000  0.9885  0.9340  0.8178  0.7045  0.5707  0.5390  0.4783  0.9715  0.5883
   32   247.833   161.083  0.083  0.109    0.821   27.346   657.075  5502.429   5.005   5.749   19.094   45.204  244  250  158  165 +4.452751e+10 +3.663057e+08 +4.441056e+10 0.00000 1 s64   25    5  1.0000  1.0440  1.0134  0.9620  0.8849  0.8525  0.8052  0.8307  1.0258  0.8484
   34   319.438   163.120  0.178  0.078    0.480   27.267   383.925  5486.413   6.834   4.906   26.070   38.576  314  324  160  166 +4.450911e+10 +3.554799e+08 +4.409226e+10 0.00000 1 s73   26    2  1.0000  0.9273  0.8578  0.6833  0.5339  0.4342  0.3068  0.2817  0.9128  0.3789
   36   250.157   164.401  0.137  0.252    0.810   27.216   648.211  5476.338   5.533   6.421   21.105   50.485  248  253  159  167 +3.339201e+10 +3.674170e+08 +3.954532e+10 0.00000 1 s65   25    5  1.0000  1.0536  1.0233  0.9591  0.8917  0.8359  0.7901  0.8264  1.0431  0.8322
   37   202.237   168.060  0.064  0.059    1.039   27.073   831.011  5447.566   5.492   5.387   20.951   42.355  198  206  164  172 +6.988892e+10 +3.574555e+08 +6.961144e+10 0.00000 1 s61   27    1  1.0000  0.9331  0.8826  0.7618  0.6505  0.5921  0.5450  0.4989  0.9340  0.5899
   38   222.850   167.779  0.013  0.017    0.940   27.084   752.380  5449.775   4.880   5.304   18.615   41.704  220  226  164  172 +2.597163e+11 +3.656709e+08 +2.583316e+11 0.00000 1 s63   25    5  1.0000  0.9918  0.9848  0.9604  0.9273  0.9116  0.9150  0.9060  0.9956  0.9118
   39   363.575   168.423  0.175  0.235    0.269   27.059   215.555  5444.711   5.800   6.610   22.125   51.973  360  366  165  173 +3.262973e+10 +3.580148e+08 +3.202302e+10 0.00000 1 s71   28    2  1.0000  0.9619  0.9365  0.7190  0.6017  0.5241  0.4376  0.4612  0.9519  0.5202
   40   216.016   168.807  0.137  0.191    0.973   27.044   778.449  5441.693   5.268   5.998   20.095   47.160  213  220  166  172 +2.895550e+10 +3.679389e+08 +2.889508e+10 0.00000 1 s62   25    5  1.0000  0.9991  1.0138  0.9459  0.8989  0.8390  0.8957  0.8337  0.9914  0.8515
   41   256.836   175.507  0.221  0.298    0.778   26.782   622.732  5389.009   5.386   5.563   20.545   43.741  255  259  174  178 +1.958548e+10 +3.658332e+08 +1.922565e+10 0.00000 1 s66   29    1  1.0000  0.9372  0.9282  0.8498  0.8109  0.7071  0.5918  0.6205  0.9721  0.6675
   42   360.332   174.781  0.089  0.061    0.285   26.811   227.925  5394.720   5.992   5.065   22.858   39.828  356  364  171  178 +6.379821e+10 +3.594265e+08 +6.317350e+10 0.00000 1 s72   28    2  1.0000  0.9119  0.8728  0.6911  0.5728  0.5006  0.4630  0.4030  0.9029  0.4937
   43   109.576   176.134  0.076  0.065    1.480   26.758  1184.484  5384.083   5.603   5.539   21.374   43.549  106  114  172  180 +7.017591e+10 +3.596013e+08 +6.929443e+10 0.00000 1 s22   30    1  1.0000  0.9584  0.9013  0.7771  0.6547  0.6244  0.5338  0.4758  0.9749  0.5797
   44   208.418   176.255  0.156  0.147    1.009   26.753   807.431  5383.134   5.792   5.839   22.094   45.914  205  212  173  180 +3.615341e+10 +3.576511e+08 +3.564403e+10 0.00000 1 s60   31    1  1.0000  0.8635  0.8221  0.6682  0.5545  0.4658  0.3833  0.3653  0.8863  0.4727
   45   265.755   177.817  0.384  0.269    0.736   26.692   588.709  5370.849   7.673   6.443   29.271   50.662  262  269  175  183 +2.231227e+10 +3.480019e+08 +2.223118e+10 0.00000 1 s67   32    2  1.0000  0.8881  0.8237  0.5630  0.5140  0.3574  0.3033  0.2785  0.9037  0.4294
   46   130.087   178.797  0.069  0.063    1.382   26.654  1106.242  5363.142   5.631   5.207   21.480   40.943  126  134  175  182 +6.484716e+10 +3.578899e+08 +6.462015e+10 0.00000 1 s23   33    1  1.0000  0.9536  0.9119  0.7617  0.6483  0.6020  0.5093  0.4941  0.9450  0.5929
   47   245.922   180.171  0.119  0.173    0.830   26.600   664.368  5352.341   5.886   6.901   22.453   54.263  242  250  176  185 +3.985249e+10 +3.494136e+08 +3.978942e+10 0.00000 1 s59   34   32  1.0000  0.8943  0.8369  0.6723  0.4876  0.4702  0.4227  0.3398  0.9251  0.4318
   48   188.685   183.246  0.031  0.037    1.103   26.480   882.708  5328.164   5.086   5.589   19.401   43.944  185  193  179  187 +1.317206e+11 +3.612756e+08 +1.302151e+11 0.00000 1 s28   35    2  1.0000  0.9666  0.9196  0.7993  0.7008  0.6442  0.6055  0.5736  0.9659  0.6543
   49   264.046   182.406  0.386  0.852    0.744   26.513   595.228  5334.767   6.887   8.570   26.273   67.387  262  266  176  185 +1.692131e+10 +3.520133e+08 +1.684643e+10 0.00000 1 s68   32    2  1.0000  0.9039  0.8495  0.6375  0.4620  0.3820  0.2868  0.2610  0.9134  0.4052
   50   165.771   183.635  0.076  0.074    1.212   26.465   970.118  5325.106   5.890   5.494   22.469   43.196  162  170  180  188 +6.819187e+10 +3.581841e+08 +6.738980e+10 0.00000 1 s26   36    4  1.0000  0.9392  0.9046  0.7434  0.6188  0.5033  0.4191  0.3909  0.9324  0.5279
   51   213.868   187.496  0.100  0.199    0.983   26.314   786.642  5294.746   5.234   6.516   19.964   51.236  211  217  184  192 +3.934085e+10 +3.591388e+08 +3.883711e+10 0.00000 1 s57   34   32  1.0000  0.9245  0.8985  0.7650  0.6434  0.5109  0.5294  0.4391  0.9375  0.5683
   52   243.520   187.263  0.116  0.075    0.842   26.323   673.530  5296.575   6.188   5.379   23.606   42.292  240  248  183  191 +6.115786e+10 +3.621543e+08 +6.001761e+10 0.00000 1 s58   34   32  1.0000  0.9440  0.8910  0.7643  0.6206  0.4899  0.4633  0.3848  0.9343  0.5042
   53   273.738   189.664  0.095  0.128    0.698   26.229   558.255  5277.700   5.306   5.916   20.241   46.520  270  277  186  193 +4.474319e+10 +3.580752e+08 +4.424237e+10 0.00000 1 s69   37    1  1.0000  1.0186  0.9702  0.8140  0.6680  0.6383  0.5247  0.5090  0.9924  0.6065
   54   158.845   191.434  0.442  0.160    1.245   26.160   996.539  5263.782   8.266   5.753   31.531   45.239  154  165  188  195 +3.750763e+10 +3.634539e+08 +3.633143e+10 0.00000 1 s24   36    4  1.0000  0.9510  0.9637  0.7916  0.7059  0.5526  0.5723  0.4730  0.9795  0.6329
   56   223.027   191.082  0.060  0.066    0.939   26.174   751.703  5266.554   5.689   5.843   21.702   45.940  219  227  187  195 +7.324199e+10 +3.521708e+08 +7.321011e+10 0.00000 1 s56   34   32  1.0000  0.9721  0.9346  0.8025  0.6758  0.6116  0.5453  0.4784  0.9819  0.6100
   58   164.311   192.986  0.407  0.107    1.219   26.099   975.689  5251.577   9.261   5.749   35.330   45.205  157  171  189  196 +4.350062e+10 +3.517953e+08 +4.301803e+10 0.00000 1 s25   36    4  1.0000  0.9373  0.9069  0.7612  0.6854  0.5731  0.4945  0.4380  0.9771  0.5832
   59   295.358   193.299  0.131  0.092    0.595   26.087   475.785  5249.116   6.188   5.230   23.607   41.125  291  299  190  197 +4.727671e+10 +3.581636e+08 +4.665966e+10 0.00000 1 s70   39    1  1.0000  0.9238  0.8948  0.7155  0.5698  0.5038  0.4040  0.3511  0.9275  0.5119
   60   175.198   194.866  0.044  0.051    1.167   26.026   934.156  5236.795   5.476   5.895   20.889   46.348  171  179  191  199 +9.976083e+10 +3.561734e+08 +9.939809e+10 0.00000 1 s27   36    4  1.0000  0.9486  0.9147  0.7964  0.6986  0.6206  0.5562  0.4975  0.9517  0.6033
   62   574.767   195.900  0.197  0.111   -0.737   25.986  -590.077  5228.664   6.427   4.894   24.519   38.482  571  578  194  198 +3.084916e+10 +3.552404e+08 +3.074254e+10 0.00000 1 s100   40    1  1.0000  0.9756  0.8267  0.6983  0.5605  0.4897  0.4135  0.3524  0.9821  0.4777
   66   246.166   204.469  0.111  0.094    0.829   25.651   663.435  5161.287   6.948   5.757   26.504   45.264  241  251  200  208 +6.315514e+10 +3.566546e+08 +6.224704e+10 0.00000 1 s55   34   32  1.0000  0.9019  0.8569  0.7015  0.5783  0.4990  0.4174  0.3975  0.9236  0.5059
   67   311.741   206.433  0.140  0.133    0.516   25.574   413.286  5145.844   6.132   5.572   23.391   43.809  308  316  203  210 +4.080907e+10 +3.574015e+08 +4.017641e+10 0.00000 1 s48   41    2  1.0000  0.8965  0.8792  0.6768  0.5416  0.4340  0.3583  0.3165  0.9258  0.4070
   68   304.035   207.910  0.157  0.107    0.553   25.516   442.682  5134.233   6.386   5.168   24.360   40.639  300  309  205  211 +3.573759e+10 +3.548692e+08 +3.571382e+10 0.00000 1 s47   41    2  1.0000  0.9709  0.8710  0.7598  0.6128  0.5240  0.4597  0.4160  0.9409  0.4999
   69   192.649   209.813  0.039  0.023    1.084   25.442   867.586  5119.271   6.529   5.206   24.905   40.937  188  198  206  214 +1.736952e+11 +3.561207e+08 +1.722534e+11 0.00000 1 s29   34   32  1.0000  0.9647  0.9317  0.8246  0.7350  0.6692  0.6238  0.5889  0.9590  0.6752
   70   249.601   210.687  0.126  0.091    0.813   25.408   650.332  5112.398   7.918   5.992   30.206   47.117  244  256  207  215 +8.675268e+10 +3.671486e+08 +8.407525e+10 0.00000 1 s53   34   32  1.0000  0.9555  0.8967  0.7076  0.6034  0.5201  0.4607  0.4331  0.9283  0.5374
   72   262.294   211.484  0.065  0.055    0.752   25.377   601.913  5106.134   6.581   5.609   25.106   44.104  257  267  207  215 +1.042023e+11 +3.590103e+08 +1.022613e+11 0.00000 1 s51   34   32  1.0000  0.9618  0.9058  0.7318  0.6420  0.5556  0.4835  0.4530  0.9571  0.5613
   73   270.625   210.760  0.193  0.069    0.712   25.405   570.133  5111.823   8.230   5.089   31.394   40.017  265  277  207  214 +5.646796e+10 +3.513754e+08 +5.598662e+10 0.00000 1 s50   34   32  1.0000  0.9899  0.9500  0.8070  0.6738  0.6227  0.4931  0.4336  0.9626  0.5781
   74   198.330   212.040  0.074  0.030    1.057   25.355   845.915  5101.764   6.582   4.979   25.107   39.147  193  203  208  216 +1.223800e+11 +3.654420e+08 +1.198298e+11 0.00000 1 s30   34   32  1.0000  0.9602  0.9065  0.7775  0.6876  0.6383  0.5811  0.5559  0.9616  0.6328
   75   246.261   212.050  0.127  0.054    0.829   25.354   663.071  5101.679   8.517   5.724   32.491   45.003  240  252  208  216 +8.501905e+10 +3.515214e+08 +8.484569e+10 0.00000 1 s54   34   32  1.0000  0.9456  0.8914  0.6708  0.5761  0.5103  0.4610  0.4173  0.9423  0.4974
   76   209.525   213.951  0.084  0.073    1.004   25.280   803.209  5086.737   5.924   6.206   22.598   48.798  206  214  210  218 +7.711548e+10 +3.613935e+08 +7.589474e+10 0.00000 1 s35   34   32  1.0000  0.9707  0.9442  0.8513  0.7530  0.6891  0.6146  0.5732  0.9592  0.6823
   77   256.219   214.459  0.105  0.151    0.781   25.260   625.085  5082.744   6.832   7.245   26.063   56.964  251  261  209  219 +6.664364e+10 +3.591893e+08 +6.576788e+10 0.00000 1 s52   34   32  1.0000  0.9687  0.9013  0.7640  0.6195  0.5470  0.4769  0.4352  0.9644  0.5409
   78   315.742   215.199  0.154  0.128    0.497   25.231   398.024  5076.919   5.792   5.296   22.094   41.638  313  319  213  219 +3.291001e+10 +3.586169e+08 +3.268765e+10 0.00000 1 s44   42    3  1.0000  0.9484  0.8557  0.6780  0.5915  0.4998  0.4299  0.4452  0.9269  0.4852
